id,number,amount,church_id,created_at,updated_at,description
1,4304,100,12,"2014-02-19 16:15:56","2014-02-19 16:15:56",""
2,14207,200,107,"2014-02-19 17:16:10","2014-02-19 17:16:10","Pago fue recibido en la Oficinas de la IBPR 4-febrero-2014"
3,9055,100,105,"2014-02-19 17:23:55","2014-02-19 17:23:55","Se recibió el pago el 24-enero-2014. Balance pendiente de $25.00"
4,2008,125,56,"2014-02-19 18:39:32","2014-02-19 18:39:32","Se recibió el pago en la Oficinas de la IBPR el 24-enero-2014"
5,2977,100,17,"2014-02-19 18:43:25","2014-02-19 18:43:25","Se recibió pago en la Oficinas Centrales de las IBPR el 11-feb-2014"
6,13969,175,60,"2014-02-19 18:53:58","2014-02-19 18:53:58","Pago se recibió en las oficinas centrales de las IBPR el 7-feb-2014"
7,4248,100,75,"2014-02-19 19:23:33","2014-02-19 19:23:33","Se recibió el pago en la oficinas centrales de las IBPR el 10-feb-2014"
8,14252,125,103,"2014-02-19 19:31:17","2014-02-19 19:31:17","Se recibió pago en las oficinas centrales de las IBPR, queda balance pendiente de pago de $25.00"
9,388,100,26,"2014-02-20 15:03:37","2014-02-20 15:03:37","Se recibió pago en las oficinas centrales de las IBPR el 7-feb-2014"
10,3649,75,68,"2014-02-20 15:04:42","2014-02-20 15:04:42","Se recibió pago en las oficinas centrales de las IBPR el 7-feb-2014"
11,2364,50,113,"2014-02-20 15:10:04","2014-02-20 15:10:04","Se recibió pago en la oficinas centrales de las IBPR el 10-feb-2014. "
12,662,100,37,"2014-02-20 15:13:40","2014-02-20 15:13:40","Se recibió pago en la oficinas centrales de la IBPR el 10-feb-2014"
13,6148,100,76,"2014-02-20 15:17:30","2014-02-20 15:17:30","Se recibió pago en la oficinas centrales de las IBPR el 10-feb-2014"
14,7095,75,111,"2014-02-24 18:32:03","2014-02-24 18:32:03","Pago recibido en las oficinas centrales de las IBPR el 11-febrero-2014. "
17,4173,75,89,"2014-02-24 18:53:50","2014-02-24 18:53:50",""
18,3922,75,35,"2014-02-24 18:54:56","2014-02-24 18:54:56",""
19,1213,25,8,"2014-02-24 18:56:17","2014-02-24 18:56:17",""
20,3055,150,52,"2014-02-25 13:28:29","2014-02-25 13:28:29",""
21,1799,50,39,"2014-02-25 13:35:17","2014-02-25 13:35:17",""
22,12213,150,53,"2014-02-25 13:36:03","2014-02-25 13:36:03",""
23,13210,50,83,"2014-02-25 13:43:15","2014-02-25 13:43:15",""
24,11894,100,32,"2014-02-25 13:47:48","2014-02-25 13:47:48",""
25,1070,75,43,"2014-02-25 13:58:30","2014-02-25 13:58:30",""
26,24136,325,13,"2014-02-25 18:29:45","2014-02-25 18:29:45",""
27,4173,75,14,"2014-02-25 18:31:03","2014-02-25 18:31:03",""
28,4328,25,12,"2014-02-25 18:32:23","2014-02-25 18:32:23",""
29,5138,100,99,"2014-02-25 18:43:46","2014-02-25 18:43:46",""
34,6162,100,94,"2014-02-27 20:39:24","2014-02-27 20:39:24",""
